set_id,name,general_path,projected_set_path,results_path,composite,projection,tle_name,shape,dpi,nadir_proj
0,dataset_a,,,,0.6,tpers,PW-SAT2-1,,4000,True
0,dataset_b,,,,0.6,tpers,PW-SAT2-1,,4000,True
0,dataset_c,,,,HRV,tpers,PW-SAT2-1,,4000,True
1,dataset_a,,,,0.6,tpers,PW-SAT2-2,,4000,True
1,dataset_b,,,,0.6,tpers,PW-SAT2-2,,4000,True
1,dataset_c,,,,HRV,tpers,PW-SAT2-2,,4000,True
2,dataset_a,,,,0.6,tpers,PW-SAT2-4,,4000,True
2,dataset_b,,,,0.6,tpers,PW-SAT2-4,,4000,True
2,dataset_c,,,,HRV,tpers,PW-SAT2-4,,4000,True
3,dataset_a,,,,0.6,tpers,PW-SAT2-6,,4000,True
3,dataset_b,,,,0.6,tpers,PW-SAT2-6,,4000,True
3,dataset_c,,,,HRV,tpers,PW-SAT2-6,,4000,True
4,dataset_a,,,,0.6,tpers,PW-SAT2-7,,4000,True
4,dataset_b,,,,0.6,tpers,PW-SAT2-7,,4000,True
4,dataset_c,,,,HRV,tpers,PW-SAT2-7,,4000,True
5,dataset_a,,,,0.6,tpers,PW-SAT2-5,,4000,True
5,dataset_b,,,,0.6,tpers,PW-SAT2-5,,4000,True
5,dataset_c,,,,HRV,tpers,PW-SAT2-5,,4000,True
